Location,name,inASA,inASE,default,cli,info,version,status,type
Command line options,-ActiveEvent=<eventname>,No,Yes,,skip,"Enables a specified event or enables the event's colours palette on wild creatures. Only one can be specified and active at a time. Only the <code>WinterWonderland</code> event is still fully working in the game. Events marked red no longer even apply the colour modifications.
<table class=""wikitable"">
  <tr><th>eventname</th><th>Description</th></tr>
  <tr class=""redish-background""><td><code>ark7th</code></td><td>Allows for [[ARK: 7th Anniversary]] to be activated.</td></tr>
  <tr class=""redish-background""><td><code>ARKaeology</code></td><td>Allows for [[ARK: ARKaeology]] to be activated.</td></tr>
  <tr class=""redish-background""><td><code>birthday</code></td><td>Allows for [[ARK: 5th Anniversary]] to be activated.</td></tr>
  <tr><td><code>Easter</code></td><td>Allows for [[ARK: Eggcellent Adventure 7]] to be activated.</td></tr>
  <tr><td><code>FearEvolved</code></td><td>Allows for [[ARK: Fear Evolved 6]] to be activated.</td></tr>
  <tr class=""redish-background""><td><code>ExtinctionChronicles</code></td><td>Allows for [[Extinction Chronicles]] to be activated.</td></tr>
  <tr><td><code>PAX</code></td><td>Allows for [[ARK: PAX Party]] to be activated.</td></tr>
  <tr><td><code>Summer</code></td><td>Allows for [[ARK: Summer EVO]] to be activated.</td></tr>
  <tr><td><code>TurkeyTrial</code></td><td>Allows for [[ARK: Turkey Trial 6]] to be activated.</td></tr>
  <tr><td><code>vday</code></td><td>Allows for [[Valentine's EVO Event]] to be activated.</td></tr>
  <tr><td><code>WinterWonderland</code></td><td>Allows for [[ARK: Winter Wonderland 7]] to be activated.</td></tr>
  <tr><td><code>None</code></td><td>Disables normally active event. It is suggested to use this setting to completely turn off unwanted event references in server memory, like skin crafting.</td></tr>
</table>
''The last event to feature this option was [[ARK: Winter Wonderland 7]].''<br/>
'''Note:''' If you don't want to activate the event, but still want the wild creatures to have the event colors, use the option <code>ActiveEventColors</code> from [[#DynamicConfig|Dynamic Config]] instead.<br/>
{{gamelink|asa}}: Obsolete, use <code>-mods</code> argument instead. Adding <code>ActiveEvent=</code> in the [[#GameUserSettings.ini|GameUserSettings.ini]] file has no effect.",[[280.114]],,
Command line options,-AllowFlyerSpeedLeveling,No,Yes,,skip,"Enables Level Up for Flyer Movement Speed. '''Note:''' alternatively, it can be enabled adding <code>bAllowFlyerSpeedLeveling=True</code> to the ''Game.ini'' file.",[[321.1]],,
Command line options,?AltSaveDirectoryName=<savedir_name>,Yes,Yes,,skip,"Allows to specify a custom directory name for server world-save. Usually used to manage clusters, read more about it in the [[#Cross-ARK_Data_Transfer|Cross-ARK Data Transfer]] section.
{{gamelink|asa}}: Note that it still uses the <code><savedir_name>/<map_name></code> directory structure.",,,
Command line options,-AlwaysTickDedicatedSkeletalMeshes,Yes,No,,skip,Disables optimization to dynamically not tick idle/inactive creature animations on the dedicated server based on server frame rate (only becomes active when server is low FPS). '''Note''': side-effects can include inaccurate collisions for idle creatures on the client versus the server (such as inaccurate jumping position while standing on an inactive/idle Brontosaurus and jumping on its tail as it sits in your base).,[[ARK: Survival Ascended/Patch/33.33|ASA 26.36]],,
Command line options,-AutoDestroyStructures,Yes,Yes,,skip,Enables auto destruction of old structures. Timer can be adjusted with option <code>AutoDestroyOldStructuresMultiplier</code> in [[#GameUserSettings.ini|GameUserSettings.ini]] under <code>[ServerSettings]</code> section.,[[245.987]],,
Command line options,-automanagedmods,No,Yes,,skip,"Steam only, automatic MOD download/installation/updating. Mod IDs are listed in [[#Game.ini|Game.ini]] under <code>[ModInstaller]</code> section.",[[244.3]],,
Command line options,-crossplay,No,Yes,,skip,"Enables crossplay (i.e.: EPIC and Steam) on dedicated server. '''Note''': <code>PublicIPForEpic</code> must also be set.<br/>
{{gamelink|asa}}: Obsolete, use <code>-ServerPlatform</code> argument instead.",[[311.74]],,
Command line options,-culture=<lang_code>,Yes,Yes,,skip,"Overrides the server output language. If set in server it doesn't override clients' language. List of currently supported language codes: <code>ca</code>, <code>cs</code>, <code>da</code>, <code>de</code>, <code>en</code>, <code>es</code>, <code>eu</code>, <code>fi</code>, <code>fr</code>, <code>hu</code>, <code>it</code>, <code>ja</code>, <code>ka</code>, <code>ko</code>, <code>nl</code>, <code>pl</code>, <code>pt_BR</code>, <code>ru</code>, <code>sv</code>, <code>th</code>, <code>tr</code>, <code>zh</code>, <code>zh-Hans-CN</code>, <code>zh-TW</code>. This is also needed to override some
Genesis: Part 2 missions text outputs for clients that otherwise will follow the language settings of the server operating system.",[[235.2]],,
Command line options,-DoCustomCosmeticValidation,Yes,No,,skip,Enables validation of custom cosmetic mods. See this [https://survivetheark.com/index.php?/forums/topic/736592-enable-custom-cosmetics-validation-on-unofficial/ post] for details.,[[ARK: Survival Ascended/Patch/34.49|ASA 34.49]],,
Command line options,-DisableCustomCosmetics,Yes,No,,skip,Disables the Custom Cosmetic system (allowing players to use and display special mods that should only be skins and will be downloaded automatically by the connected clients).,[[ARK: Survival Ascended/Patch/34.49|ASA 34.49]],,
